id,Nama Restoran,Preferensi Makanan,Harga Rata-Rata Makanan di Toko (Rp),Rating Toko,Jenis Suasana,Variasi Makanan
0,"Mie Bandung Chinese Food, Ngampilan",Chinese,39000,4.7,Santai,"Bakmie, Aneka nasi, Chinese"
1,"Soto Tauco Pekalongan Bu Iswi, Jalan Bimokurdo No.46, Gondokusuman, Demangan",Indonesia,19000,3.7,Santai,"Bakso & soto, Cepat saji, Minuman"
2,"Spesial Bakso Pak Jum Balai Kota, Umbulharjo",Indonesia,18000,3.6,Santai,"Bakso & soto, Jajanan, Minuman"
3,Soto Ayam Kampung Dan Soto Daging Sapi Pak Ben,Indonesia,22000,3.8,Santai,"Bakso & soto, Minuman"
4,Toba Tabo,Chinese,40000,4.7,Santai,"Cepat saji, Bakmie, Chinese"
5,"Sop Ayam Klaten, Mantrijeron",Indonesia,16000,4.4,Santai,"Cepat saji, Minuman, Bakso & soto"
6,"Legend Coffee, Yogyakarta",Western,37000,4.3,Santai,"Chicken & duck, Beverages, Pizza & pasta, Coffee, Rice, Noodles, Western"
7,"Martabak Okonomiyaki BAMLY, Sonopakis",Japanese,25000,4.6,Santai,"Chicken & duck, Japanese, Martabak"
8,"Nasi Goreng Gemilang, Gedongkuning",Chinese,19000,4.7,Santai,Chinese
9,"Restoran Mahkota (Tiong San), Pajeksan",Chinese,132000,4.7,Santai,"Chinese, Ayam & bebek, Aneka nasi, Bakmie"
10,"Curryin, Perumnas",Japanese,42000,4.6,Santai,Japanese
11,"Marugame Udon, Hartono Mall Jogja",Japanese,68000,4.8,Formal,Japanese
12,"YOSHINOYA BEEF BOWL, Transmart Maguwoharjo",Japanese,64000,4.7,Formal,"Japanese, Fast food, Chicken & duck, Rice"
13,"Sushi Battousai, Suryodiningratan",Japanese,32000,4.5,Formal,"Japanese, Snacks, Chinese"
14,"Mochi Sakura, Plaza Ambarukmo",Japanese,41000,4.2,Santai,"Japanese, Snacks, Sweets"
15,"Soto Pak Zaenal Barokah, Warungboto Umbulharjo",Indonesia,15000,4.5,Santai,"Minuman, Bakso & soto"
16,"Warung Lawas, Prawirotaman",Western,41000,4.7,Santai,"Pizza & pasta, Chicken & duck, Western, Rice, Beverages, Snacks, Sweets, Fast food, Bakery, Bakso & soto, Noodles, Coffee"
17,"Mediterranea Restaurant by Kamil, Matrijeron",Western,76000,4.8,Santai,"Pizza & pasta, Western"
18,"Rustik Bistro & Bar, Hotel Harper Malioboro Yogyakarta",Western,32000,3.8,Formal,"Rice, Beverages, Western"
19,"Gyudel Bowl & Nasi Goreng, Depok",Japanese,29000,4.7,Formal,"Rice, Fast food, Japanese"
20,"Sushi Story, Gejayan",Japanese,62000,4.6,Formal,"Seafood, Japanese"
21,"Burgerax, Imogiri Timur",Western,38000,4.6,Santai,"Snacks, Western, Fast food"
22,"Pulung Steak & Ribs, Catur Tunggal",Western,43000,4.6,Santai,Western
23,"Burger Bangor Express, Bantul",Western,40000,4.8,Santai,"Western, Fast food, Chicken & duck"
24,"BurgeriOr, Tempel",Western,40000,4.7,Santai,"Western, Fast food, Snacks"
25,"Mamam Food, Pringgolayan Banguntapan",Western,27000,4.7,Santai,"Western, Pizza & pasta, Rice"
26,"Yamie Panda, Cokroaminoto",Chinese,28000,4.7,Santai,"Bakmie, Chinese, Bakso & soto"
27,"Kedai Mie Nyinyir, Sorogenen",Indonesia,22000,4.7,Santai,"Bakso & soto, Bakmie"
28,"Dudidu Dimsum, ISI",Chinese,40000,4.6,Santai,"Chinese, Japanese, Korean"
29,"Kwetiau Goreng Dan Nasi Goreng Seafood Makjoss, Batikan",Chinese,25000,4.6,Santai,"Chinese, Seafood, Bakmie"
30,"Double O Resto, Tegalrejo",Japanese,30000,4.6,Santai,"Coffee, Beverages, Japanese"
31,"HokBen Kitchen, Godean Jogjakarta",Japanese,49000,4.7,Formal,"Fast food, Japanese"
32,Salad Sehat Fd,Japanese,30000,4.7,Santai,"Fast food, Japanese, Korean"
33,"Bakmi Nikmat Rasa, Soragan",Indonesia,59000,4.6,Santai,Japanese
34,"GYU KATSU, CONDONGCATUR",Japanese,32000,4.7,Formal,"Japanese, Rice"
35,"Vegan Cafe Black Forest, Brontokusuman",Chinese,22000,4.7,Santai,"Minuman, Chinese, Barat"
36,"Grennesia Salad Bar & Breakfast, Parangtritis",Western,22000,4.7,Formal,"Rice, Western, Snacks"
37,"Chikuro Pakuwon Mall Jogja, Pakuwon Mall Lantai LG",Japanese,40000,4.6,Formal,"Snacks, Japanese"
